# Elements 1e+06
[00000.171 ms] [1.644725] multiplySeq
[00000.080 ms] [1.644725] multiplyOpenmp [8 threads; schedule dynamic 1024]
[00000.081 ms] [1.644725] multiplyOpenmp [8 threads; schedule dynamic 2048]
[00000.080 ms] [1.644725] multiplyOpenmp [8 threads; schedule dynamic 4096]
[00000.080 ms] [1.644725] multiplyOpenmp [8 threads; schedule dynamic 8192]
[00000.082 ms] [1.644725] multiplyOpenmp [8 threads; schedule dynamic 16384]
[00000.081 ms] [1.644725] multiplyOpenmp [8 threads; schedule dynamic 32768]
[00000.080 ms] [1.644725] multiplyOpenmp [8 threads; schedule dynamic 65536]
[00000.082 ms] [1.644725] multiplyOpenmp [8 threads; schedule guided 64]
[00000.080 ms] [1.644725] multiplyOpenmp [8 threads; schedule guided 128]
[00000.082 ms] [1.644725] multiplyOpenmp [8 threads; schedule guided 256]
[00000.080 ms] [1.644725] multiplyOpenmp [8 threads; schedule guided 512]
[00000.079 ms] [1.644725] multiplyOpenmp [8 threads; schedule guided 1024]
[00000.079 ms] [1.644725] multiplyOpenmp [8 threads; schedule guided 2048]
[00000.079 ms] [1.644725] multiplyOpenmp [8 threads; schedule guided 4096]
[00000.079 ms] [1.644725] multiplyOpenmp [8 threads; schedule guided 8192]
[00000.079 ms] [1.644725] multiplyOpenmp [8 threads; schedule guided 16384]
[00000.079 ms] [1.644725] multiplyOpenmp [8 threads; schedule guided 32768]
[00000.079 ms] [1.644725] multiplyOpenmp [8 threads; schedule guided 65536]
[00000.078 ms] [1.644725] multiplyOpenmp [8 threads; schedule auto 64]
[00000.083 ms] [1.644725] multiplyOpenmp [8 threads; schedule auto 128]
[00000.079 ms] [1.644725] multiplyOpenmp [8 threads; schedule auto 256]
[00000.079 ms] [1.644725] multiplyOpenmp [8 threads; schedule auto 512]
[00000.080 ms] [1.644725] multiplyOpenmp [8 threads; schedule auto 1024]
[00000.079 ms] [1.644725] multiplyOpenmp [8 threads; schedule auto 2048]
